"citation_key","inclusion_1","inclusion_2","ec_quality","ec_research_availability","ec_dt_for_non_security_case","ec_dt_missing","ec_not_IOT_CPS_context","ec_dt_for_security","ec_complete_book","comment"
"2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"2021a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"2021b","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"2021c","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"2021d","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"2021e","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"2021f","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"2021g","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"2021h","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"2021i","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"3gpp2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"59P2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"ABB2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"ACM2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abbasi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abbassi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abdalla2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abdallah2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abdelkhalik2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abdirad2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abdo2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abdulmalik2017","yes","no","no","no","no","yes","no","no","no","-"
"Abdulmohsen2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abhinav2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abhishek2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abidi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abikoye2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abiodun2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aboelhassan2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abomhara2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abowd2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abraham2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abramovici2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Abrams2008","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aburomman2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Acar2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Accessed2005","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Accessed2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Accessed2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Accessed2018a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Accessed2018ab","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Accessed2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Acciaro2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adadi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"AdafruitNA","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adamik2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adamsky2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adepu2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adepu2016a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adepu2016ab","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adepu2016abc","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adepu2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adepu2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"AdepuNA","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adhau2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"AdhikariNA","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Adil2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"AduAmankwa2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Afsaneh2011","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Afzal2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Agalianos2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Agarwal2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aggarwal2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aggarwal2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aggarwal2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aghdam2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Agirre2021","yes","no","no","no","yes","no","no","no","no","-"
"Agnusdei2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aheleroff2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahlgren2021","yes","no","no","no","yes","no","yes","no","no","-"
"Ahmad2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahmad2022","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahmadi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"AhmadiAssalemi2020","yes","no","no","no","no","no","no","yes","no","-"
"Ahmed2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahmed2017a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahmed2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahmed2018a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahmed2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahmed2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahmed2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahmed2021a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ahn2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aho","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aho2020","yes","no","no","no","yes","no","no","no","no","-"
"Aichernig2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aichernig2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aileni2020","yes","no","no","no","no","yes","no","no","no","-"
"Aitken9999","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ajanovic2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ajmera2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Akbarian2020","yes","yes","no","no","no","no","no","no","no","-"
"Akbarian2020a","yes","no","no","no","yes","no","no","no","no","-"
"Akbarian2021","yes","yes","no","no","no","no","no","no","no","-"
"Akcay2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Akhenak2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Akinola2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Akundi","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Al2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Al2016a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Al2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Al2018a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Al2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alalaurinaho2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alalaurinaho2020","yes","no","no","no","yes","no","no","no","no","-"
"Alali2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alam2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alam2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alam2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alanazi2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alawonde2020","yes","no","no","no","no","yes","no","no","no","-"
"Albayrak2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Albers2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alberts2010","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Albo2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Albukhitan2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alcacer2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alcaraz2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alcaraz2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alcaraz2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alecsa2012","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aleksandrova2019","yes","no","no","no","yes","no","no","no","no","-"
"Alelyani2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alert2001","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alert2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alertenterprise2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alexander2006","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alexander2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alexander2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alexandr2009","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alexandra2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alexandros2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alexopoulos2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alfonso2000","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alfuqaha2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alghamdi","yes","no","no","no","no","yes","no","no","no","-"
"Alguliyev2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alhawawreh2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ali2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alimardani2009","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alimi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alkasassbeh2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"AllemanNA","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Allen2020","yes","no","no","no","no","yes","no","no","no","-"
"Alley9999","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Allgoewer2019","yes","no","no","no","yes","no","no","no","no","-"
"Allian2019","yes","no","no","no","yes","no","no","no","no","-"
"Alliance2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Allianz2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Allience9999","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Allison2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Almeaibed2021","yes","yes","no","no","no","no","no","no","no","-"
"Almohri2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alpay2006","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alqahtani2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alrubaye2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alrubaye2019a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alsamhi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alsarra2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Altamiranda2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Altinok2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Altun2019","yes","no","no","no","yes","no","no","no","no","-"
"Alvaro2011","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Alves2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aly2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"AmblerNA","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ameri2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Amin2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Amodei2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Anand2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ande2020","yes","no","no","no","yes","no","no","no","no","-"
"Anderson2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Anderson2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Andreado2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Andreas2007","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Andrei2021","yes","no","no","no","no","yes","no","no","no","-"
"Andreoni2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Andryushkevich2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Andulkar2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Angelopoulos2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Angrish2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ani2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Animesh2007","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Anisha2022","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ankur2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"AnlineLizie2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Annette2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ansari2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ansari2020","yes","no","no","no","yes","no","no","no","no","-"
"Ansible2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antal2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antal2020","yes","no","no","no","no","yes","no","no","no","-"
"Ante2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Anthony2020","yes","yes","no","no","no","no","no","no","no","-"
"Antoine2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Anton2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Anton2020a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antonakakis2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antonelli2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antonino2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antonio2009","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antonioli2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antonioli2016","yes","no","no","no","no","yes","no","no","no","-"
"Antonioli2017","yes","no","no","no","no","yes","no","no","no","-"
"Antoniou2005","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antoniuk2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antonov2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Antonov9999","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Anwar2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aoun2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aperadorchaparro2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Appl2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ara2019","yes","no","no","no","no","yes","no","no","no","-"
"Arafsha2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aramco2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Arampatzis2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Arden2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Arenas2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Armbrust2001","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Armendia2019","yes","no","no","no","yes","no","no","no","no","-"
"Armengaud2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Arooj2021","yes","no","no","no","no","yes","no","no","no","-"
"Arora2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Arquimedes2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Arrichiello2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Artemenko2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Arthur2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Arunthavanathan2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Asaturova2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Asaturova2020a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aschenbrenner2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Asghar2017","yes","no","no","no","no","yes","no","no","no","-"
"Ashfaq2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ashok2016","yes","no","no","no","no","yes","no","no","no","-"
"Ashok2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ashrafi2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Asif2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Asif2022","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Asprion2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Assenza2020","yes","yes","no","no","no","no","no","no","no","-"
"AssisDornelles2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Atalay2020","yes","yes","no","no","no","no","no","no","no","-"
"Athanasios2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Athinaiou2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Atlam2020","yes","no","no","no","no","yes","no","no","no","-"
"Atmojo2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Atmojo2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Atoum2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Atzori2010","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Atzori2011","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aubert2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Auferbauer2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aughenbaugh2010","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Autiosalo2018","yes","no","no","no","yes","no","no","no","no","-"
"Autiosalo2020","yes","no","no","no","yes","no","no","no","no","-"
"Autodesk2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Autodesk2017a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Automationml2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Available2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Avizienis2004","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Avraham2007","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Awotunde2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Awouda2019","yes","no","no","no","no","yes","no","no","no","-"
"Aws2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aws2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Axel2012","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Axelsson2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Axelsson2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Aydogan2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ayerbe","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ayodeji2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ayodeji2018a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ayodeji2018ab","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ayodeji2020","yes","yes","no","no","no","no","no","no","no","-"
"Ayyub2022","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Azarmipour2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"B2009","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"BI2021100316","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ba-tuong2008","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ba-tuong2011","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baader2003","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Babica2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baboli2020","yes","no","no","no","yes","no","no","no","no","-"
"Bachechi2021","yes","no","no","no","no","yes","no","no","no","-"
"Bachelor2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bachorek2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bada2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bader2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Badhwar2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Badihi2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Badii2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"BaeNA","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baek2021","yes","no","no","no","no","yes","no","no","no","-"
"Baert2021","yes","no","no","no","yes","no","no","no","no","-"
"Bagaria2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bagchi2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bagheri2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bagheri2020","yes","no","no","no","yes","no","no","no","no","-"
"Bagozi2021","yes","no","no","no","yes","no","no","no","no","-"
"Baheti2011","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baheti2011a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baheti2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baheti2020","yes","no","no","no","yes","no","no","no","no","-"
"Baheti9999","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bahrami2021","yes","no","no","no","yes","no","no","no","no","-"
"Bahrebar2021","yes","no","no","no","yes","no","no","no","no","-"
"Bahrin2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bai2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baillargeon2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bajaj2020","yes","yes","no","no","no","no","no","no","no","-"
"Bakakeu2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bakhshi2022","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Balas2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Balashanmugam2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Balderas2021","yes","no","no","no","yes","no","no","no","no","-"
"Baldwin2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Balog2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Balta2019","yes","no","no","no","yes","no","no","no","no","-"
"Bamakan2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bameyi2021","yes","no","no","yes","no","no","no","no","no","-"
"Banerjee2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bangert2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bank2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Banks2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Banman2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bannan2020","yes","no","no","no","yes","no","no","no","no","-"
"Bansal2021","yes","no","no","no","yes","no","no","no","no","-"
"Bansidhar2012","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baoqiang2020","yes","no","no","no","no","no","yes","no","no","-"
"Barbara2001","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Barenji2019","yes","no","no","no","yes","no","no","no","no","-"
"Barhak2010","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Barkanyi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Barnett2003","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Barras1997","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Barreiros2020","yes","no","no","no","no","yes","no","no","no","-"
"Barricelli2019","yes","no","no","no","yes","no","no","no","no","-"
"Bartnes2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bartoletti2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bartsch2021","yes","no","no","no","yes","no","no","no","no","-"
"Barve2021","yes","no","no","no","yes","no","no","no","no","-"
"Bascur2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Basili1994","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Basl2018","yes","no","no","no","yes","no","no","no","no","-"
"Basu2010","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bathelt2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Battista2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bau2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bauer2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baumgartner2010","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bavelos2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bayanifar2017","yes","yes","no","no","no","no","no","no","no","-"
"Bayarcelik2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Baybulatov2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bayou2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bayreuth2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Beard2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Becejac2020","yes","no","no","no","no","yes","no","no","no","-"
"Becue2018","yes","yes","no","no","no","no","no","no","no","-"
"Becue2020","yes","yes","no","no","no","no","no","no","no","-"
"Becue2021","yes","no","no","yes","no","no","no","no","no","-"
"Befekadu2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Beigh2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Beigh2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Beilei2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Belenko2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Belgin2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Belikovetsky2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bellare2000","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bellavista2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bellini2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bellovin1989","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Belotserkovsky2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Belov2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"BenAhmed2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Benabidallah2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Benasher2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Benedik2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Benesova2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Bengtsson1996","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
